Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-26.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-05-29.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-01.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-02.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-03.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-04.tsv...
Opening ..\Client\bin\Debug\netcoreapp3.1\2020-06-05.tsv...
Name	Date	Min_Date	Max_Date	WallClock	Fitness	Count	Error_Count	Total_Duration	Total_Mbps	Total_ErrorDuration	Avg_Duration	Avg_Mbps	Avg_Errors	Avg_ErrorDuration	Min_Duration	Max_Duration	Min_Mbps	Max_Mbps
2020-06-05	2020-06-05T16:36:00.0000000	2020-06-05T16:36:00.5430567-07:00	2020-06-05T16:36:59.8120217-07:00	59268.965	1.012621	89	0	60017	221.76997	0	674.3483	2.4917974	0	0	406	1248	1.23	3.77
2020-06-05	2020-06-05T16:37:00.0000000	2020-06-05T16:37:00.2733518-07:00	2020-06-05T16:37:59.5152538-07:00	59241.902	1.0068718	101	0	59649	291.81	0	590.58417	2.8892078	0	0	334	1494	1.02	4.57
2020-06-05	2020-06-05T16:38:00.0000000	2020-06-05T16:38:00.0783916-07:00	2020-06-05T16:38:59.3216449-07:00	59243.254	1.0082836	113	0	59734	346.21997	0	528.61945	3.0638936	0	0	309	1062	1.44	4.96
2020-06-05	2020-06-05T16:39:00.0000000	2020-06-05T16:39:00.1818964-07:00	2020-06-05T16:39:59.8769443-07:00	59695.047	1.0132332	113	0	60485	347.13995	0	535.2655	3.072035	0	0	315	1406	1.09	4.86
2020-06-05	2020-06-05T16:40:00.0000000	2020-06-05T16:40:00.4316408-07:00	2020-06-05T16:40:59.8759358-07:00	59444.297	1.0054623	102	0	59769	294.23	0	585.9706	2.884608	0	0	318	1634	0.94	4.81
2020-06-05	2020-06-05T16:41:00.0000000	2020-06-05T16:41:00.3102038-07:00	2020-06-05T16:41:59.8614063-07:00	59551.203	0.9221812	98	1	54917	291.01004	5004	560.37756	2.9694903	0.01010101	5004	313	1438	1.07	4.88
2020-06-05	2020-06-05T16:42:00.0000000	2020-06-05T16:42:00.3689736-07:00	2020-06-05T16:42:59.6281384-07:00	59259.164	0.922929	96	1	54692	281.53003	5011	569.7083	2.9326046	0.010309278	5011	300	1404	1.09	5.09
2020-06-05	2020-06-05T16:43:00.0000000	2020-06-05T16:43:00.0968458-07:00	2020-06-05T16:43:59.7286724-07:00	59631.83	1.0067108	105	0	60032	303.44998	0	571.73334	2.8899999	0	0	317	1353	1.13	4.83
2020-06-05	2020-06-05T16:44:00.0000000	2020-06-05T16:44:00.2098019-07:00	2020-06-05T16:44:59.6002429-07:00	59390.44	0.92080474	100	1	54687	295.90997	5003	546.87	2.9590998	0.00990099	5003	300	1255	1.22	5.1
2020-06-05	2020-06-05T16:45:00.0000000	2020-06-05T16:45:00.1478365-07:00	2020-06-05T16:45:59.6070027-07:00	59459.168	1.0082718	84	0	59951	203.25	0	713.7024	2.419643	0	0	338	1406	1.09	4.52
